計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2026/06/09,テストドラッグ,-9332,テストカード 配偶者名義,日用品,日用品,,0,1g8b2fsy5qtg61ox4vgxcxxyir17o73chc20t1kph6y
1,2026/06/10,テスト電力,-12867,テスト銀行 本人普通,水道・光熱費,電気代,,0,1kbrj941s9vi7faeeatykill7yxtjtcs1wdkrxn1t1f
1,2026/06/11,テストガス,-6122,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,1ny1yh3nmmtb196ec2e1xn6psm1w33a931btfnv0rnf
1,2026/06/12,テストモバイル,-8940,テストカード 配偶者名義,通信費,携帯電話,,0,1o7uwt59gfkib1h1czy8s9vbhv1fgmmof192lj0713s
1,2026/06/13,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,sv14211li0x93i0wlrg15yaz051x8enavl9ty5e98px
1,2026/06/14,テスト書店,-3985,テストカード 配偶者名義,趣味・娯楽,書籍,,0,1ys7xf6yep0xfdk1pct1dolnoam6c4q41q4wl5g1v61
1,2026/06/15,テスト交通 IC チャージ,-6418,テストカード 配偶者名義,交通費,電車,,0,lnp99m14qb6fj1ucndni18ggdky17ljvbm18xe2sn1p
1,2026/06/16,テスト石油,-7896,テストカード 配偶者名義,自動車,ガソリン,,0,172hlxe1dc6562167p7zs4j2i6pxlxp8hn8lx41xbsd
1,2026/06/17,テスト薬局,-3720,テストカード 配偶者名義,健康・医療,医療費,,0,5k8djerpf5nrg5gku41y1wri81ix7hrs1umt3u3bx16
1,2026/06/18,テストスクール,-12000,テストネット銀行 本人,教養・教育,習い事,,0,1ios2q41uqat8s1xdvatg1lgyqdw1s2aicl14bgkaqy
1,2026/06/19,テスト生命,-14500,テスト銀行 本人普通,保険,生命保険,,0,1dxmm16nd67f518190ej76crdx1dplv7511fufk6zbc
1,2026/06/20,テスト市 住民税,-21000,テスト信用金庫 本人,税・社会保障,税金,,0,9a6c601dremk3klq177ye4j8qjx66t1msubfnomi2v7
1,2026/06/21,テスト衣料,-6673,テストカード 配偶者名義,衣服・美容,衣服,,0,1lqd3yy15r1d9i1d8lcyk1i8o6j1hl6zne19wzg3o9u
1,2026/06/22,テスト贈答,-3792,テストカード 配偶者名義,交際費,交際費,,0,10d4io3uez9sc128u8ivnl4jdy4l2zc51km3ejk11t7
1,2026/06/03,テスト家電,-32950,テストモール(ポイント),特別な支出,特別な支出,,0,1wb6ai51jmwhdbludjn7v73edg113yvrvswv4g11udn
1,2026/06/04,テスト引き出し,-26220,テスト第二銀行 本人,その他,使途不明金,,0,sljysvcbv07s1ofuqluiaqf9n61pqgeu5kwah1bg4df
1,2026/06/05,テスト未分類決済,-5498,テストカード 配偶者名義,未分類,未分類,,0,1534qvx1euidy1q86th0n1t9odety6br19kt95x9rhy
1,2026/06/10,Anthropic Claude 月額,-3000,テストカード 配偶者名義,通信費,サブスク,,0,q2hyya1kexjtn16iu7nf1chs8k8zfcfim1ju2r68kvk
1,2026/06/10,GitHub 月額,-1800,テストカード 配偶者名義,通信費,サブスク,,0,cvmekstg6ycd6vjigp8shcdq1y94fw71aqy4p5c4l0u
1,2026/06/10,Adobe CC 月額,-6480,テストカード 配偶者名義,通信費,サブスク,,0,1fwvzqe123gni8c30m9y12u0fukgfaffpxdecg61at7
1,2026/06/10,Notion 月額,-1200,テストカード 配偶者名義,通信費,サブスク,,0,k117f018vb4t3vor4st1xj0mdjkfbedl1qpx5zjroah
0,2026/06/26,カード引落,-150000,テスト銀行 本人普通,現金・カード,カード引き落とし,,1,6g06j5nvysylnylnowayglfy1541swo667pmv1w2c74
0,2026/06/27,ATM引き出し,-30000,テスト銀行 本人普通,現金・カード,ATM引き出し,,1,p0g1tb1vpa7u71srbyqljl3nx216grck06dzro31o2f
0,2026/06/06,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,1tvdisd5u8wrf168fx6ov8c2vb186p34os5qeg61x79
0,2026/06/13,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,zhe5img2pva11iinjxjmnnnn7pwxqkg16b7tofnjuwe
0,2026/06/20,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,1kzjwtd1bwa65qirwfaz4mal9l1cgau7t1gsz6n2i3x
0,2026/06/27,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,rfo6ltylfcx218pub3n1u8o165rog9vxpnz2vhmrgqi
0,2026/06/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,6fjehx1nbih1c13ivbp51pdan3jsr2ytbso9jpw17sj
1,2026/07/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,hso036e4pqmc12kxvnmbr63sczz4ha014l5mjft0b50
1,2026/07/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,1dpg1omkt30s1bg91qmfpte1o143xqu3i81pzh1wyzb
1,2026/07/15,テストクライアント 入金,300516,テスト銀行 本人普通,収入,事業収入,,0,cvhaly1qmo8bu1wy47pwjhoikr1br8v7oqwuzjv1fml
1,2026/07/20,テストスーパー,-61837,テストカード 配偶者名義,食費,食料品,,0,q2njpmk22eumvhkkcw1wmw5ofh7ogqj2fcsf81mepnd
1,2026/07/21,テスト食堂,-14531,テストカード 配偶者名義,食費,外食,,0,10qm2ab1ahjopi1huhvxa1vlwetn1e9mzku1n3b6jm1
1,2026/07/22,テストドラッグ,-9301,テストカード 配偶者名義,日用品,日用品,,0,wfcszb1easn4j19dkel21vjmzxq1vwn4tsixk6ctdld
1,2026/07/03,テスト電力,-10480,テスト銀行 本人普通,水道・光熱費,電気代,,0,1rv72jjp2nr1s189j0c414yueufjm677i39wg0o1gqf
1,2026/07/04,テストガス,-7556,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,12mfgkj1u937b42qlwz31u4upz61fy6jkv1u0f8ff1k
1,2026/07/05,テストモバイル,-8820,テストカード 配偶者名義,通信費,携帯電話,,0,1o5xuv43nd0yb1nxqtjll9n7lu16eclr9leryk0290b
1,2026/07/06,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,bgoh84fnz4lr1xll8pw3af895tixzngbifpc216g6d8
1,2026/07/07,テスト書店,-5198,テストカード 配偶者名義,趣味・娯楽,書籍,,0,1g5dzn81nk1l9isgu4kqk75fws1k2ktdyway29c1n6u
1,2026/07/08,テスト交通 IC チャージ,-5385,テストカード 配偶者名義,交通費,電車,,0,1iqt5covwyi1n1932twl5v1x11fb8moy1hx2ksr1doe
1,2026/07/09,テスト石油,-8858,テストカード 配偶者名義,自動車,ガソリン,,0,5sdfpd16dxnz770uqyz5wxb4zefmizl16qxig91fibs
1,2026/07/10,テスト薬局,-4234,テストカード 配偶者名義,健康・医療,医療費,,0,1r2gmvalmpoos1ywu5111dehek392map6yewc6h13sv
1,2026/07/11,テストスクール,-12000,テストネット銀行 本人,教養・教育,習い事,,0,ul1dsc9qp2tdpjfg5g9o6dwplom8l6104rtgm1ca9q7
1,2026/07/12,テスト生命,-14500,テスト銀行 本人普通,保険,生命保険,,0,1ypjyy125iybsp5oqot9joxm1cd0ju710sse9r16e28
1,2026/07/13,テスト市 住民税,-21000,テスト信用金庫 本人,税・社会保障,税金,,0,v5lahjnoxsrqber78p1lp4hw0101aj4w11ppbiu2o3a
1,2026/07/14,テスト衣料,-8693,テストカード 配偶者名義,衣服・美容,衣服,,0,1qp7yl519380bd13wkzn41laj49ainc0d01v8dc6r7s
1,2026/07/15,テスト贈答,-6190,テストカード 配偶者名義,交際費,交際費,,0,66qynn13vd8oa1mgsui9btj77h5kyjaq1q3xhi61m8j
1,2026/07/16,テスト家電,-15176,テストモール(ポイント),特別な支出,特別な支出,,0,1i2gd0oua13egrrh56n12o7mq7145m1lf1gu1k121nr
1,2026/07/17,テスト引き出し,-31593,テスト第二銀行 本人,その他,使途不明金,,0,1g8j1g61hevmmu1sgch9v15mjb75cj7g10mfhwun1f3
1,2026/07/18,テスト未分類決済,-5336,テストカード 配偶者名義,未分類,未分類,,0,d41b2g6j2tn03y2sggaxqyatl69c021eyslatlz6qmn
1,2026/07/10,Anthropic Claude 月額,-3000,テストカード 配偶者名義,通信費,サブスク,,0,1opb1tmg4anzqdpg3lx1qg0rluc24bqx1tekwit1hru
1,2026/07/10,GitHub 月額,-1800,テストカード 配偶者名義,通信費,サブスク,,0,123257v1m4mmvob6vo1q10mb6o31o1qc3a107dua02a
1,2026/07/10,Adobe CC 月額,-25920,テストカード 配偶者名義,通信費,サブスク,,0,1wt1vydw0bkiz1rhapxr1m09tmv1nc1vaj1hcv5alwp
1,2026/07/10,Notion 月額,-1200,テストカード 配偶者名義,通信費,サブスク,,0,xnpuyz16obgmkpr7rlxc7mm4kkjxgnhfpp1p8yukzkg
0,2026/07/26,カード引落,-150000,テスト銀行 本人普通,現金・カード,カード引き落とし,,1,12ixyk11cwhzqmjdqmkj3fp0xekaa4jg1hjcc1x1e8p
0,2026/07/27,ATM引き出し,-30000,テスト銀行 本人普通,現金・カード,ATM引き出し,,1,qfqxm2o7ekvo1v7lrft11rnwvaqa7lh763bvr51dwxe
0,2026/07/06,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,comjc41wrq5c91dlxbl81o76vtj48hx6d10mm81g1mj
0,2026/07/13,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,1e6clcru3dau91pm6y3t1rp7owzw9j7bbuqviy7up89
0,2026/07/20,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,jihpmz1ioln5tsb1o5f1jcbl89sfav40aaab9lrs8pl
0,2026/07/27,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,4zpoa41bd9ils1bjfv8bqnfc9p1hn7jp26oo03e6w4n
0,2026/07/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,qq0hwk12t00uh1x2obao18hhue2e53rs11kgj3rw1fo
1,2026/08/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,1utfexo1ys73kh13ppjy91dx3hdhzjs9tmv1suviurk
1,2026/08/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,gwqppbqx15i1wk090cyq5c7jzqal4ckaw1yxeiq11v1
1,2026/08/15,テストクライアント 入金,263760,テスト銀行 本人普通,収入,事業収入,,0,1vmffwt39az6a1j88ftgm56iur151qj2j12jvskz1ev
1,2026/08/13,テストスーパー,-60522,テストカード 配偶者名義,食費,食料品,,0,rz5d7x1qeww9h1pu1tmg1fd0r7aesbfo3r9qmgnzcv8
1,2026/08/14,テスト食堂,-22274,テストカード 配偶者名義,食費,外食,,0,5xyc0dxqzst8aszobo39ws8y1ekzm782eiru8arcmj7
1,2026/08/15,テストドラッグ,-10648,テストカード 配偶者名義,日用品,日用品,,0,l33kuu16235i47d0c0v1rvrjk1t3qks31rge2ne1bcx
1,2026/08/16,テスト電力,-12126,テスト銀行 本人普通,水道・光熱費,電気代,,0,1ffznji1erjij82s6b9z1rwrc1poium4s6m0eatt61g
1,2026/08/17,テストガス,-6900,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,bc4c4mptuwh91e8dkrs1qs92yz7jikf01lp8g86st0q
1,2026/08/18,テストモバイル,-8542,テストカード 配偶者名義,通信費,携帯電話,,0,pfg7se1rdhxei1u07auj109nd9skgzzmcjgvs3l88cc
1,2026/08/19,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,126uytb3hmr5iwkxw741mrbjxexdt8cqplgz3enquzc
1,2026/08/20,テスト書店,-4559,テストカード 配偶者名義,趣味・娯楽,書籍,,0,sh74njdd5bveov8scqpzvakywbhylr59fg9g1jv0p1a
1,2026/08/21,テスト交通 IC チャージ,-6541,テストカード 配偶者名義,交通費,電車,,0,1vt1ofz1pxxppc1jo8fdqgzaje19m2zhkgymr3s251z
1,2026/08/22,テスト石油,-8454,テストカード 配偶者名義,自動車,ガソリン,,0,13d62r4106u2brjczick16s7zct1p5hxfzrqesfp1rw
1,2026/08/03,テスト薬局,-2949,テストカード 配偶者名義,健康・医療,医療費,,0,1ppbhmp1qfizk11my1vw91sg54eyhgw99c10j54xg1e
1,2026/08/04,テストスクール,-12000,テストネット銀行 本人,教養・教育,習い事,,0,9lzu7nlf7i211t1qx3l1s93mc818ek9uk13a4rh11o5
1,2026/08/05,テスト生命,-14500,テスト銀行 本人普通,保険,生命保険,,0,1dafdc19ilwmf1ewxm071ea0if193vk9ginhwp4wfg9
1,2026/08/06,テスト市 住民税,-21000,テスト信用金庫 本人,税・社会保障,税金,,0,1je9fvb8v6eel16trjgh191cz1l1577adz46p5981jn
1,2026/08/07,テスト衣料,-4702,テストカード 配偶者名義,衣服・美容,衣服,,0,55up4owfwgcu1w7kp44is5iwsr67taj1eet5ukjm8qr
1,2026/08/08,テスト贈答,-4375,テストカード 配偶者名義,交際費,交際費,,0,17ocl5e1cbqivb1q0wptu1h82zor1p64iz48cg2e217
1,2026/08/09,テスト家電,-23614,テストモール(ポイント),特別な支出,特別な支出,,0,m7141411eesp91s94h6s1gctqhp1y0nvxt1jcf7beeh
1,2026/08/10,テスト引き出し,-28913,テスト第二銀行 本人,その他,使途不明金,,0,1ybf16mn8cfvn3e79k1q2yjdjco9ao1zwhj3n9cxx66
1,2026/08/11,テスト未分類決済,-3492,テストカード 配偶者名義,未分類,未分類,,0,tklo1f1wtm3na1awvmnwbtlf75pgd9f31t8lmkf1snz
1,2026/08/10,Anthropic Claude 月額,-3000,テストカード 配偶者名義,通信費,サブスク,,0,1sakcz58hz8pt9ja09b16bgdcd6m304n1c9s32zzsy2
1,2026/08/10,GitHub 月額,-1800,テストカード 配偶者名義,通信費,サブスク,,0,74mm6bg8pfuv64qyyzb2nfjzfndxzg1o1w3uj1mqsuj
1,2026/08/10,Adobe CC 月額,-6480,テストカード 配偶者名義,通信費,サブスク,,0,1jnd4ec1jz9e1w1mu2steng2aleorne681o8cl56njd
1,2026/08/10,Notion 月額,-1200,テストカード 配偶者名義,通信費,サブスク,,0,1gvf58au2wvf2m9wpbemlcr6k1yau6nncyp20fechmt
0,2026/08/26,カード引落,-150000,テスト銀行 本人普通,現金・カード,カード引き落とし,,1,crdec012ogv37s3sjbac0h9bys171vy3m2dc1erjz7f
0,2026/08/27,ATM引き出し,-30000,テスト銀行 本人普通,現金・カード,ATM引き出し,,1,1ij8uxm1h71zra1aghzi61c85laxnrs72n1kriweds4
0,2026/08/06,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,15862u2axvsrx1ypztwc17f9o4c11i5r611rivru81c
0,2026/08/13,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,1rqk8ey1o3p9413csvw3ur8kynjrhev66aeyfrlq8ph
0,2026/08/20,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,w21b92s7nrvl1c890y01tbuh0x10ggv0jaw9jfl1352
0,2026/08/27,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,zokvzi1kthrwteisdra1xs9rhj19hgr68ug46z21rli
0,2026/08/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,mcohsj1dei8et6kl7sy1s82cu14y9dato4exsjf4xnj
