計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2026/05/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000303
1,2026/05/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000304
1,2026/05/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000305
0,2026/05/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000306
1,2026/06/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000307
1,2026/06/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000308
1,2026/06/15,テストクライアント 入金,480000,テスト銀行 本人普通,収入,事業収入,,0,MF000309
1,2026/06/12,テストスーパー,-66453,テストカード,食費,食料品,,0,MF000310
1,2026/06/13,テスト食堂,-14572,テストカード,食費,外食,,0,MF000311
1,2026/06/14,テストドラッグ,-11177,テストカード,日用品,日用品,,0,MF000312
1,2026/06/15,テスト電力,-9564,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000313
1,2026/06/16,テストガス,-7795,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000314
1,2026/06/17,テストモバイル,-8613,テストカード,通信費,携帯電話,,0,MF000315
1,2026/06/18,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000316
1,2026/06/19,テスト書店,-4712,テストカード,趣味・娯楽,書籍,,0,MF000317
1,2026/06/20,テスト交通 IC チャージ,-6004,テストカード,交通費,電車,,0,MF000318
1,2026/06/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000319
1,2026/06/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000320
1,2026/06/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000321
1,2026/06/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000322
1,2026/06/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000323
0,2026/06/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000324
1,2026/07/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000325
1,2026/07/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000326
1,2026/07/15,テストクライアント 入金,268611,テスト銀行 本人普通,収入,事業収入,,0,MF000327
1,2026/07/10,テストスーパー,-65124,テストカード,食費,食料品,,0,MF000328
1,2026/07/11,テスト食堂,-18546,テストカード,食費,外食,,0,MF000329
1,2026/07/12,テストドラッグ,-10508,テストカード,日用品,日用品,,0,MF000330
1,2026/07/13,テスト電力,-9263,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000331
1,2026/07/14,テストガス,-6531,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000332
1,2026/07/15,テストモバイル,-8890,テストカード,通信費,携帯電話,,0,MF000333
1,2026/07/16,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000334
1,2026/07/17,テスト書店,-5274,テストカード,趣味・娯楽,書籍,,0,MF000335
1,2026/07/18,テスト交通 IC チャージ,-6944,テストカード,交通費,電車,,0,MF000336
1,2026/07/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000337
1,2026/07/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000338
1,2026/07/10,Adobe CC 月額,-25920,テストカード,通信費,サブスク,,0,MF000339
1,2026/07/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000340
1,2026/07/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000341
0,2026/07/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000342
1,2026/08/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000343
1,2026/08/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000344
1,2026/08/15,テストクライアント 入金,247353,テスト銀行 本人普通,収入,事業収入,,0,MF000345
1,2026/08/08,テストスーパー,-57792,テストカード,食費,食料品,,0,MF000346
1,2026/08/09,テスト食堂,-18688,テストカード,食費,外食,,0,MF000347
1,2026/08/10,テストドラッグ,-9572,テストカード,日用品,日用品,,0,MF000348
1,2026/08/11,テスト電力,-9294,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000349
1,2026/08/12,テストガス,-6728,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000350
1,2026/08/13,テストモバイル,-8881,テストカード,通信費,携帯電話,,0,MF000351
1,2026/08/14,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000352
1,2026/08/15,テスト書店,-2739,テストカード,趣味・娯楽,書籍,,0,MF000353
1,2026/08/16,テスト交通 IC チャージ,-5062,テストカード,交通費,電車,,0,MF000354
1,2026/08/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000355
1,2026/08/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000356
1,2026/08/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000357
1,2026/08/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000358
1,2026/08/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000359
0,2026/08/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000360
